%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1695954301840741340,0.5,0.0,0.0,0.0,0.0,0.2
1695954301940947612,0.5,0.0,0.0,0.0,0.0,0.2
1695954302040802634,0.5,0.0,0.0,0.0,0.0,0.2
1695954302140723259,0.5,0.0,0.0,0.0,0.0,0.2
1695954302240953805,0.5,0.0,0.0,0.0,0.0,0.2
1695954302340703022,0.5,0.0,0.0,0.0,0.0,0.2
1695954302440968520,0.5,0.0,0.0,0.0,0.0,0.2
1695954302540724947,0.5,0.0,0.0,0.0,0.0,0.2
1695954302641022621,0.5,0.0,0.0,0.0,0.0,0.2
1695954302740677354,0.5,0.0,0.0,0.0,0.0,0.2
1695954302840731264,0.5,0.0,0.0,0.0,0.0,0.2
1695954302940999918,0.5,0.0,0.0,0.0,0.0,0.2
1695954303040719626,0.5,0.0,0.0,0.0,0.0,0.2
1695954303140994581,0.5,0.0,0.0,0.0,0.0,0.2
1695954303240663374,0.5,0.0,0.0,0.0,0.0,0.2
1695954303340744137,0.5,0.0,0.0,0.0,0.0,0.2
1695954303440947871,0.5,0.0,0.0,0.0,0.0,0.2
1695954303540791656,0.5,0.0,0.0,0.0,0.0,0.2
1695954303640749597,0.5,0.0,0.0,0.0,0.0,0.2
1695954303741097394,0.5,0.0,0.0,0.0,0.0,0.2
1695954303840670719,0.5,0.0,0.0,0.0,0.0,0.2
1695954303940865203,0.5,0.0,0.0,0.0,0.0,0.2
1695954304040945462,0.5,0.0,0.0,0.0,0.0,0.2
1695954304140974253,0.5,0.0,0.0,0.0,0.0,0.2
1695954304240767777,0.5,0.0,0.0,0.0,0.0,0.2
1695954304340740948,0.5,0.0,0.0,0.0,0.0,0.2
1695954304440933861,0.5,0.0,0.0,0.0,0.0,0.2
1695954304540825009,0.5,0.0,0.0,0.0,0.0,0.2
1695954304640813441,0.5,0.0,0.0,0.0,0.0,0.2
1695954304740738850,0.5,0.0,0.0,0.0,0.0,0.2
1695954304840973996,0.5,0.0,0.0,0.0,0.0,0.2
1695954304940887113,0.5,0.0,0.0,0.0,0.0,0.2
1695954305040733137,0.5,0.0,0.0,0.0,0.0,0.2
1695954305140950122,0.5,0.0,0.0,0.0,0.0,0.2
1695954305240732418,0.5,0.0,0.0,0.0,0.0,0.2
1695954305340966459,0.5,0.0,0.0,0.0,0.0,0.2
1695954305440757910,0.5,0.0,0.0,0.0,0.0,0.2
1695954305540815404,0.5,0.0,0.0,0.0,0.0,0.2
1695954305640923069,0.5,0.0,0.0,0.0,0.0,0.2
1695954305740943297,0.5,0.0,0.0,0.0,0.0,0.2
